numero_opportunidad,cliente,unidad_negocio,etapas,tipos,acv,tcv,margen_ganancia,regiones,territorios,industrias,fecha_creacion_oportunidad,fecha_cierre_oportunidad,edad_oferta,lead_source,numero_vendedor
OP-05965,CL-00808,BU-05,Won,TY-00,16611.89,16611.89,0.21,RE-02,TE-04,IN-49,2021-06-22,2021-06-22,0.0,LS-01,NV-1
OP-05966,CL-00742,BU-04,Won,TY-04,54444.44,54444.44,0.25,RE-02,TE-08,IN-14,2018-08-08,2018-08-21,13.0,LS-07,NV-0
OP-05967,CL-00808,BU-05,Won,TY-00,22685.28,22685.28,0.21,RE-02,TE-09,IN-34,2021-06-17,2021-06-17,0.0,LS-13,NV-0
OP-05968,CL-00742,BU-04,Won,TY-05,6520.29,6520.29,0.22,RE-02,TE-02,IN-38,2018-08-08,2018-08-08,0.0,LS-05,NV-2
OP-05969,CL-00808,BU-05,Won,TY-00,632.04,632.04,0.24,RE-02,TE-02,IN-41,2021-04-29,2021-04-29,0.0,LS-25,NV-3
OP-05970,CL-00742,BU-04,Won,TY-05,6520.29,6520.29,0.24,RE-02,TE-00,IN-36,2018-08-17,2018-08-17,0.0,LS-35,NV-1
OP-05971,CL-00808,BU-05,Won,TY-00,1340.89,1340.89,0.12,RE-02,TE-01,IN-28,2021-05-08,2021-05-08,0.0,LS-04,NV-2
OP-05972,CL-00742,BU-04,Won,TY-05,1118.22,1118.22,0.28,RE-02,TE-15,IN-52,2018-10-14,2018-10-14,0.0,LS-28,NV-2
OP-05973,CL-00808,BU-05,Won,TY-00,8132.86,8132.86,0.17,RE-02,TE-14,IN-62,2021-06-04,2021-06-04,0.0,LS-32,NV-3
OP-05974,CL-00742,BU-04,Won,TY-04,47435.12,47435.12,0.28,RE-02,TE-06,IN-31,2018-09-02,2018-09-27,25.0,LS-00,NV-1
OP-05975,CL-00808,BU-05,Won,TY-00,4644.02,4644.02,0.22,RE-02,TE-12,IN-59,2021-04-12,2021-04-12,0.0,LS-05,NV-4
OP-05976,CL-00742,BU-04,Won,TY-05,2608.12,2608.12,0.15,RE-02,TE-00,IN-22,2018-08-09,2018-08-09,0.0,LS-10,NV-0
OP-05977,CL-00808,BU-05,Won,TY-00,2245.19,2245.19,0.27,RE-02,TE-08,IN-59,2021-04-20,2021-04-20,0.0,LS-15,NV-1
OP-05978,CL-00742,BU-04,Won,TY-05,6520.29,6520.29,0.22,RE-02,TE-12,IN-30,2018-09-07,2018-09-07,0.0,LS-20,NV-2
