numero_opportunidad,cliente,unidad_negocio,etapas,tipos,acv,tcv,margen_ganancia,regiones,territorios,industrias,fecha_creacion_oportunidad,fecha_cierre_oportunidad,edad_oferta,lead_source,numero_vendedor
OP-00000,CL-01169,BU-05,Lost,TY-04,476458.92,943194.18,0.06,RE-02,TE-15,IN-23,2021-08-17,2022-02-06,173.0,LS-06,NV-4
OP-00001,CL-00808,BU-05,Won,TY-00,8715.31,8715.31,0.07,RE-02,TE-01,IN-37,2020-07-23,2020-07-23,0.0,LS-06,NV-4
OP-00002,CL-00234,BU-05,Lost,TY-04,140992.94,140992.94,0.19,RE-02,TE-15,IN-10,2021-06-21,2021-12-11,173.0,LS-14,NV-1
OP-00003,CL-00808,BU-05,Won,TY-00,1333.11,1333.11,0.19,RE-02,TE-00,IN-55,2020-08-09,2020-08-09,0.0,LS-11,NV-0
OP-00004,CL-00815,BU-05,Lost,TY-05,388946.05,388946.05,0.28,RE-02,TE-10,IN-46,2021-06-09,2022-11-22,531.0,LS-28,NV-2
OP-00005,CL-00808,BU-05,Won,TY-00,14983.17,14983.17,0.23,RE-02,TE-14,IN-29,2020-05-29,2020-05-29,0.0,LS-00,NV-1
OP-00006,CL-01235,BU-05,Lost,TY-04,620707.17,1055988.54,0.14,RE-02,TE-05,IN-34,2021-08-09,2023-01-29,538.0,LS-34,NV-3
OP-00007,CL-00808,BU-05,Won,TY-00,5408.29,5408.29,0.09,RE-02,TE-01,IN-33,2020-05-09,2020-05-09,0.0,LS-17,NV-4
OP-00008,CL-00509,BU-05,Lost,TY-05,21780.98,21780.98,0.08,RE-02,TE-05,IN-22,2022-09-19,2022-12-29,101.0,LS-27,NV-0
OP-00009,CL-00808,BU-05,Won,TY-00,3179.63,3179.63,0.18,RE-02,TE-11,IN-37,2020-05-18,2020-05-18,0.0,LS-03,NV-3
OP-00010,CL-00509,BU-05,Won,TY-04,655455.25,1297665.03,0.25,RE-02,TE-13,IN-59,2021-07-06,2022-05-31,329.0,LS-25,NV-3
OP-00011,CL-00808,BU-05,Won,TY-00,8220.37,8220.37,0.15,RE-02,TE-07,IN-43,2020-06-06,2020-06-06,0.0,LS-09,NV-4
OP-00012,CL-00509,BU-05,Won,TY-05,13491.57,13491.57,0.17,RE-02,TE-08,IN-19,2023-04-09,2023-04-09,0.0,LS-23,NV-4
OP-00013,CL-00808,BU-05,Won,TY-00,10731.99,10731.99,0.13,RE-02,TE-02,IN-36,2020-05-08,2020-05-08,0.0,LS-02,NV-3
OP-00014,CL-00509,BU-05,Won,TY-05,13491.57,13491.57,0.1,RE-02,TE-10,IN-62,2023-03-12,2023-03-12,0.0,LS-32,NV-3
OP-00015,CL-00808,BU-05,Won,TY-00,21485.38,21485.38,0.09,RE-02,TE-12,IN-02,2020-05-16,2020-05-16,0.0,LS-02,NV-1
OP-00016,CL-00509,BU-05,Lost,TY-05,116683.82,116683.82,0.22,RE-02,TE-01,IN-41,2023-04-26,2023-07-06,71.0,LS-15,NV-1
OP-00017,CL-00808,BU-05,Won,TY-00,3816.53,3816.53,0.11,RE-02,TE-10,IN-19,2020-04-17,2020-04-17,0.0,LS-22,NV-3
OP-00018,CL-00820,BU-03,Lost,TY-04,447287.96,447287.96,0.22,RE-01,TE-14,IN-32,2019-07-24,2021-01-13,539.0,LS-22,NV-3
OP-00019,CL-00509,BU-05,Lost,TY-05,323311.41,323311.41,0.1,RE-02,TE-00,IN-34,2022-06-22,2023-06-07,350.0,LS-20,NV-2
OP-00020,CL-00808,BU-05,Won,TY-00,20993.36,20993.36,0.08,RE-02,TE-01,IN-61,2020-04-22,2020-04-22,0.0,LS-13,NV-2
OP-00021,CL-01081,BU-05,Lost,TY-04,85892.25,247953.11,0.18,RE-02,TE-15,IN-43,2016-05-26,2018-03-28,671.0,LS-18,NV-3
OP-00022,CL-00509,BU-05,Won,TY-05,1798.88,1798.88,0.11,RE-02,TE-12,IN-25,2023-05-02,2023-05-15,13.0,LS-26,NV-0
OP-00023,CL-00808,BU-05,Won,TY-00,1333.11,1333.11,0.11,RE-02,TE-13,IN-44,2020-06-12,2020-06-12,0.0,LS-04,NV-1
OP-00024,CL-01081,BU-05,Won,TY-00,253.64,253.64,0.2,RE-02,TE-03,IN-38,2018-02-08,2018-02-08,0.0,LS-23,NV-2
OP-00025,CL-00509,BU-05,Won,TY-05,9035.95,9035.95,0.24,RE-02,TE-15,IN-34,2023-03-27,2023-04-16,20.0,LS-19,NV-0
OP-00026,CL-00808,BU-05,Won,TY-00,2741.1,2741.1,0.23,RE-02,TE-08,IN-04,2020-06-23,2020-06-23,0.0,LS-21,NV-0
OP-00027,CL-01081,BU-05,Won,TY-04,33215.99,91557.9,0.25,RE-02,TE-03,IN-26,2018-08-13,2018-08-19,6.0,LS-02,NV-3
OP-00028,CL-00951,BU-05,Lost,TY-04,140992.94,140992.94,0.14,RE-02,TE-15,IN-32,2021-08-18,2021-09-20,33.0,LS-27,NV-0
OP-00029,CL-00808,BU-05,Won,TY-00,7001.03,7001.03,0.1,RE-02,TE-10,IN-32,2020-04-01,2020-04-01,0.0,LS-33,NV-2
OP-00030,CL-01187,BU-05,Lost,TY-04,155578.42,155578.42,0.15,RE-02,TE-09,IN-54,2021-08-12,2021-09-15,34.0,LS-12,NV-4
OP-00031,CL-00808,BU-05,Won,TY-00,7502.77,7502.77,0.2,RE-02,TE-09,IN-28,2022-04-29,2022-04-29,0.0,LS-06,NV-1
OP-00032,CL-00393,BU-05,Lost,TY-04,349079.08,576612.52,0.14,RE-02,TE-07,IN-46,2021-05-24,2021-06-14,21.0,LS-18,NV-1
OP-00033,CL-00808,BU-05,Won,TY-00,7091.46,7091.46,0.06,RE-02,TE-03,IN-40,2022-07-21,2022-07-21,0.0,LS-05,NV-2
OP-00034,CL-00935,BU-05,Lost,TY-04,140992.94,140992.94,0.25,RE-02,TE-00,IN-43,2021-07-11,2022-12-03,510.0,LS-13,NV-1
OP-00035,CL-00808,BU-05,Won,TY-00,10171.91,10171.91,0.19,RE-02,TE-12,IN-64,2020-10-29,2020-10-29,0.0,LS-12,NV-2
OP-00036,CL-01217,BU-07,Won,TY-03,69620.42,69620.42,0.09,RE-03,TE-12,IN-48,2018-03-30,2018-10-24,208.0,LS-23,NV-3
OP-00037,CL-00176,BU-05,Won,TY-05,213382.97,386028.96,0.1,RE-02,TE-01,IN-63,2023-02-08,2023-02-08,0.0,LS-23,NV-3
OP-00038,CL-00808,BU-05,Won,TY-00,12582.4,12582.4,0.12,RE-02,TE-10,IN-48,2020-12-06,2020-12-06,0.0,LS-27,NV-3
OP-00039,CL-00808,BU-05,Won,TY-00,5349.95,5349.95,0.14,RE-02,TE-04,IN-09,2020-09-30,2020-09-30,0.0,LS-26,NV-2
OP-00040,CL-00808,BU-05,Won,TY-00,10073.7,10073.7,0.19,RE-02,TE-11,IN-43,2020-11-26,2020-11-26,0.0,LS-02,NV-1
OP-00041,CL-00561,BU-07,Lost,TY-04,34032.78,34032.78,0.17,RE-02,TE-07,IN-24,2018-02-13,2018-06-02,109.0,LS-24,NV-0
OP-00042,CL-00021,BU-05,S3,TY-04,233367.63,233367.63,0.2,RE-02,TE-02,IN-33,2020-09-12,2022-12-15,824.0,LS-04,NV-1
OP-00043,CL-00808,BU-05,Won,TY-00,12547.4,12547.4,0.12,RE-02,TE-09,IN-47,2020-09-19,2020-09-19,0.0,LS-07,NV-4
OP-00044,CL-00418,BU-05,Lost,TY-04,178266.94,340327.8,0.19,RE-02,TE-09,IN-06,2022-02-07,2022-12-08,304.0,LS-07,NV-0
OP-00045,CL-00808,BU-05,Won,TY-00,11499.19,11499.19,0.09,RE-02,TE-03,IN-51,2020-10-23,2020-10-23,0.0,LS-08,NV-4
OP-00046,CL-00808,BU-05,Won,TY-00,7516.38,7516.38,0.07,RE-02,TE-07,IN-36,2020-12-01,2020-12-01,0.0,LS-25,NV-0
OP-00047,CL-00808,BU-05,Won,TY-00,1340.89,1340.89,0.18,RE-02,TE-06,IN-17,2020-10-10,2020-10-10,0.0,LS-11,NV-1
OP-00048,CL-00514,BU-07,Won,TY-00,1160.34,1160.34,0.05,RE-03,TE-06,IN-60,2017-11-06,2017-11-10,4.0,LS-07,NV-1
OP-00049,CL-01283,BU-01,Lost,TY-04,3743605.76,5056298.69,0.21,RE-02,TE-07,IN-08,2021-11-18,2023-05-08,536.0,LS-29,NV-0
OP-00050,CL-00808,BU-05,Won,TY-00,20923.35,20923.35,0.09,RE-02,TE-05,IN-57,2020-09-14,2020-09-14,0.0,LS-12,NV-0
OP-00051,CL-00808,BU-05,Won,TY-05,239201.82,239201.82,0.18,RE-02,TE-02,IN-12,2019-05-07,2020-08-19,470.0,LS-06,NV-4
OP-00052,CL-00486,BU-01,Won,TY-04,20614.14,20614.14,0.3,RE-02,TE-09,IN-63,2020-04-08,2020-05-21,43.0,LS-02,NV-3
OP-00053,CL-00525,BU-01,Lost,TY-04,62233.31,62233.31,0.14,RE-02,TE-13,IN-23,2022-09-25,2023-01-08,105.0,LS-25,NV-4
OP-00054,CL-00808,BU-05,Won,TY-00,6092.84,6092.84,0.22,RE-02,TE-14,IN-54,2020-08-20,2020-08-20,0.0,LS-09,NV-0
OP-00055,CL-00486,BU-01,Won,TY-02,5834.19,5834.19,0.06,RE-02,TE-15,IN-46,2021-03-19,2021-03-19,0.0,LS-24,NV-2
OP-00056,CL-00525,BU-01,Lost,TY-04,9352718.35,18530603.5,0.27,RE-02,TE-01,IN-03,2022-07-22,2023-01-30,192.0,LS-22,NV-2
OP-00057,CL-00808,BU-05,Won,TY-00,10276.93,10276.93,0.18,RE-02,TE-12,IN-44,2020-09-26,2020-09-26,0.0,LS-00,NV-1
OP-00058,CL-00808,BU-05,Won,TY-00,25595.57,25595.57,0.26,RE-02,TE-15,IN-48,2020-10-23,2020-10-23,0.0,LS-10,NV-3
OP-00059,CL-00662,BU-07,Won,TY-00,111867.93,111867.93,0.11,RE-03,TE-02,IN-34,2022-11-13,2023-04-17,155.0,LS-16,NV-3
OP-00060,CL-00525,BU-01,Won,TY-05,5834.19,5834.19,0.27,RE-02,TE-15,IN-10,2022-06-26,2022-06-30,4.0,LS-30,NV-3
OP-00061,CL-00808,BU-05,Won,TY-00,5424.83,5424.83,0.2,RE-02,TE-00,IN-29,2020-09-06,2020-09-06,0.0,LS-20,NV-2
OP-00062,CL-00662,BU-07,Won,TY-05,244763.75,244763.75,0.1,RE-03,TE-04,IN-35,2023-03-13,2023-03-17,4.0,LS-31,NV-0
OP-00063,CL-00525,BU-01,S6,TY-05,628875.48,3039564.79,0.08,RE-02,TE-14,IN-17,2023-07-13,2023-09-27,76.0,LS-11,NV-4
OP-00064,CL-00808,BU-05,Won,TY-00,5331.48,5331.48,0.12,RE-02,TE-12,IN-04,2020-08-29,2020-08-29,0.0,LS-07,NV-1
OP-00065,CL-00662,BU-07,Won,TY-05,47791.75,47791.75,0.18,RE-03,TE-14,IN-63,2023-01-24,2023-01-28,4.0,LS-33,NV-2
OP-00066,CL-00525,BU-01,Lost,TY-04,29266.6,148771.87,0.3,RE-02,TE-10,IN-25,2023-04-17,2023-06-07,51.0,LS-29,NV-0
OP-00067,CL-00808,BU-05,Won,TY-00,7512.49,7512.49,0.11,RE-02,TE-08,IN-44,2020-09-24,2020-09-24,0.0,LS-31,NV-4
OP-00068,CL-00525,BU-01,Lost,TY-05,340327.8,340327.8,0.23,RE-02,TE-02,IN-22,2023-06-20,2023-06-27,7.0,LS-30,NV-4
OP-00069,CL-00808,BU-05,Won,TY-05,233367.63,233367.63,0.1,RE-02,TE-05,IN-16,2020-01-16,2020-07-22,188.0,LS-22,NV-0
OP-00070,CL-00662,BU-07,Won,TY-02,125999.07,125999.07,0.22,RE-03,TE-08,IN-55,2022-09-23,2022-09-23,0.0,LS-10,NV-2
OP-00071,CL-00525,BU-01,Lost,TY-05,340327.8,340327.8,0.15,RE-02,TE-07,IN-41,2023-08-16,2023-08-23,7.0,LS-35,NV-3
OP-00072,CL-00808,BU-05,Won,TY-00,9087.72,9087.72,0.23,RE-02,TE-00,IN-16,2020-09-18,2020-09-18,0.0,LS-06,NV-3
OP-00073,CL-00662,BU-07,Won,TY-02,14002.06,14002.06,0.18,RE-03,TE-09,IN-26,2022-11-27,2022-11-27,0.0,LS-31,NV-0
OP-00074,CL-00808,BU-05,Won,TY-00,12013.57,12013.57,0.29,RE-02,TE-06,IN-51,2020-09-02,2020-09-02,0.0,LS-06,NV-1
OP-00075,CL-00662,BU-07,Won,TY-05,106668.46,106668.46,0.15,RE-03,TE-08,IN-24,2022-10-22,2022-10-22,0.0,LS-04,NV-2
OP-00076,CL-00525,BU-01,Won,TY-04,81678.67,81678.67,0.27,RE-02,TE-08,IN-47,2022-08-10,2023-03-26,228.0,LS-27,NV-2
OP-00077,CL-00808,BU-05,Won,TY-00,23568.19,23568.19,0.11,RE-02,TE-06,IN-48,2020-08-15,2020-08-15,0.0,LS-30,NV-2
OP-00078,CL-00662,BU-07,Won,TY-00,146232.9,146232.9,0.08,RE-03,TE-03,IN-01,2022-10-09,2022-10-09,0.0,LS-28,NV-3
OP-00079,CL-01142,BU-05,Lost,TY-04,48618.26,48618.26,0.1,RE-00,TE-04,IN-54,2021-11-29,2022-04-17,139.0,LS-23,NV-0
OP-00080,CL-00808,BU-05,Won,TY-00,10206.92,10206.92,0.14,RE-02,TE-03,IN-14,2020-08-11,2020-08-11,0.0,LS-17,NV-3
OP-00081,CL-00662,BU-07,Won,TY-00,29977.53,29977.53,0.27,RE-03,TE-07,IN-12,2022-06-14,2022-06-16,2.0,LS-14,NV-3
OP-00082,CL-01126,BU-05,Lost,TY-04,1265857.34,3797572.03,0.19,RE-02,TE-03,IN-12,2022-04-22,2023-05-05,378.0,LS-24,NV-4
OP-00083,CL-00808,BU-05,Won,TY-00,16009.02,16009.02,0.12,RE-02,TE-13,IN-27,2020-06-18,2020-06-18,0.0,LS-35,NV-2
OP-00084,CL-00662,BU-07,Won,TY-00,89706.52,89706.52,0.14,RE-03,TE-10,IN-19,2022-06-09,2022-06-09,0.0,LS-24,NV-4
OP-00085,CL-01126,BU-05,Won,TY-04,97236.51,97236.51,0.1,RE-02,TE-00,IN-23,2022-12-11,2023-03-22,101.0,LS-29,NV-0
OP-00086,CL-00808,BU-05,Won,TY-00,3926.41,3926.41,0.29,RE-02,TE-15,IN-58,2020-06-14,2020-06-14,0.0,LS-34,NV-1
OP-00087,CL-00662,BU-07,Won,TY-00,149744.23,149744.23,0.25,RE-03,TE-08,IN-62,2022-02-24,2022-02-24,0.0,LS-28,NV-2
OP-00088,CL-00808,BU-05,Won,TY-00,6241.61,6241.61,0.25,RE-02,TE-14,IN-13,2020-07-11,2020-07-11,0.0,LS-04,NV-0
OP-00089,CL-00662,BU-07,Won,TY-00,146345.81,146345.81,0.23,RE-03,TE-14,IN-22,2022-01-11,2022-01-19,8.0,LS-16,NV-4
OP-00090,CL-00790,BU-03,Won,TY-05,21984.37,21984.37,0.29,RE-01,TE-00,IN-20,2022-11-01,2023-06-26,237.0,LS-15,NV-1
OP-00091,CL-00808,BU-05,Won,TY-00,2757.63,2757.63,0.24,RE-02,TE-14,IN-29,2020-11-25,2020-11-25,0.0,LS-08,NV-0
OP-00092,CL-00662,BU-07,Won,TY-05,124115.6,124115.6,0.11,RE-03,TE-09,IN-48,2021-10-08,2021-10-08,0.0,LS-26,NV-0
OP-00093,CL-00790,BU-03,Won,TY-02,23635.35,23635.35,0.09,RE-01,TE-08,IN-05,2021-12-16,2022-08-24,251.0,LS-20,NV-4
OP-00094,CL-00808,BU-05,Won,TY-00,2161.57,2161.57,0.24,RE-02,TE-11,IN-53,2020-12-08,2020-12-08,0.0,LS-18,NV-1
OP-00095,CL-00662,BU-07,Won,TY-05,57950.53,57950.53,0.15,RE-03,TE-01,IN-64,2021-09-17,2021-10-01,14.0,LS-01,NV-0
OP-00096,CL-00808,BU-05,Won,TY-00,14163.47,14163.47,0.25,RE-02,TE-09,IN-39,2020-12-05,2020-12-05,0.0,LS-22,NV-4
OP-00097,CL-00662,BU-07,Won,TY-05,171666.2,171666.2,0.22,RE-03,TE-06,IN-21,2021-09-18,2021-09-23,5.0,LS-06,NV-4
OP-00098,CL-00808,BU-05,Won,TY-00,1333.11,1333.11,0.12,RE-02,TE-01,IN-18,2020-10-05,2020-10-05,0.0,LS-28,NV-2
OP-00099,CL-00662,BU-07,Won,TY-05,105312.98,105312.98,0.07,RE-03,TE-15,IN-46,2021-07-09,2021-07-19,10.0,LS-02,NV-2
OP-00100,CL-01071,BU-04,Lost,TY-04,291709.54,1458547.7,0.24,RE-02,TE-11,IN-18,2021-10-26,2022-01-26,92.0,LS-33,NV-1
OP-00101,CL-00808,BU-05,Won,TY-00,2507.73,2507.73,0.06,RE-02,TE-08,IN-23,2020-11-02,2020-11-02,0.0,LS-31,NV-4
OP-00102,CL-00662,BU-07,Won,TY-00,121025.43,121025.43,0.23,RE-03,TE-05,IN-36,2021-01-08,2021-04-13,95.0,LS-30,NV-0
OP-00103,CL-01071,BU-04,Lost,TY-04,972365.13,972365.13,0.08,RE-02,TE-15,IN-41,2021-10-30,2022-01-30,92.0,LS-31,NV-0
OP-00104,CL-00127,BU-01,Lost,TY-04,3194608.41,8268020.73,0.26,RE-02,TE-07,IN-02,2023-06-07,2023-09-25,110.0,LS-06,NV-3
OP-00105,CL-00662,BU-07,Won,TY-00,226485.29,226485.29,0.08,RE-03,TE-13,IN-12,2023-09-04,2023-09-04,0.0,LS-16,NV-0
OP-00106,CL-01071,BU-04,Lost,TY-04,104342.56,191108.64,0.18,RE-02,TE-09,IN-42,2021-12-01,2022-08-01,243.0,LS-15,NV-0
OP-00107,CL-00662,BU-07,Won,TY-00,28101.35,28101.35,0.28,RE-03,TE-04,IN-01,2023-09-11,2023-09-11,0.0,LS-24,NV-0
OP-00108,CL-00305,BU-07,Lost,TY-00,20494.27,20494.27,0.06,RE-03,TE-06,IN-43,2023-02-01,2023-02-19,18.0,LS-14,NV-1
OP-00109,CL-00662,BU-07,Lost,TY-00,33844.82,33844.82,0.1,RE-03,TE-15,IN-59,2023-08-07,2023-08-07,0.0,LS-35,NV-2
OP-00110,CL-00305,BU-07,Won,TY-04,442699.62,442699.62,0.08,RE-03,TE-13,IN-50,2021-12-11,2022-06-10,181.0,LS-23,NV-3
OP-00111,CL-00662,BU-07,Lost,TY-00,272775.25,272775.25,0.28,RE-03,TE-11,IN-13,2023-08-18,2023-08-18,0.0,LS-07,NV-4
OP-00112,CL-00305,BU-07,Lost,TY-04,518122.53,518122.53,0.18,RE-03,TE-00,IN-30,2021-12-30,2022-03-12,72.0,LS-05,NV-3
OP-00113,CL-00662,BU-07,Won,TY-00,49857.05,49857.05,0.07,RE-03,TE-08,IN-64,2022-12-17,2023-06-23,188.0,LS-05,NV-4
OP-00114,CL-00305,BU-07,S2,TY-05,1007146.83,1639541.35,0.08,RE-03,TE-05,IN-25,2022-06-29,2024-11-06,467.0,LS-22,NV-3
OP-00115,CL-00662,BU-07,Won,TY-00,12203.18,12203.18,0.1,RE-03,TE-04,IN-16,2023-03-28,2023-03-28,0.0,LS-17,NV-0
OP-00116,CL-00662,BU-07,Won,TY-05,1371034.84,1371034.84,0.26,RE-03,TE-06,IN-31,2019-01-13,2019-06-27,165.0,LS-21,NV-2
OP-00117,CL-00662,BU-07,Won,TY-05,929160.03,929160.03,0.21,RE-03,TE-08,IN-51,2018-09-12,2019-02-02,143.0,LS-33,NV-1
OP-00118,CL-00800,BU-01,Lost,TY-04,11862854.63,14585477.0,0.12,RE-02,TE-10,IN-25,2021-09-15,2022-06-21,279.0,LS-11,NV-2
OP-00119,CL-00662,BU-07,Won,TY-04,175025.72,175025.72,0.21,RE-03,TE-12,IN-01,2018-07-03,2018-07-03,0.0,LS-11,NV-1
OP-00120,CL-01279,BU-05,Lost,TY-04,0.0,0.0,0.26,RE-02,TE-10,IN-43,2022-01-08,2022-11-06,302.0,LS-08,NV-4
OP-00121,CL-00662,BU-07,Won,TY-04,442426.14,442426.14,0.1,RE-03,TE-14,IN-43,2018-02-15,2018-03-22,35.0,LS-24,NV-1
OP-00122,CL-00662,BU-07,Won,TY-05,583419.08,583419.08,0.15,RE-03,TE-08,IN-59,2017-11-18,2017-11-18,0.0,LS-18,NV-3
OP-00123,CL-01215,BU-04,Lost,TY-04,729273.85,729273.85,0.06,RE-02,TE-15,IN-58,2022-02-26,2022-11-13,260.0,LS-29,NV-3
OP-00124,CL-01011,BU-05,Won,TY-04,46090.11,46090.11,0.11,RE-02,TE-07,IN-62,2020-11-03,2020-12-10,37.0,LS-24,NV-3
OP-00125,CL-00662,BU-07,Won,TY-05,643638.63,643638.63,0.19,RE-03,TE-03,IN-12,2017-08-21,2017-11-19,90.0,LS-08,NV-4
OP-00126,CL-01011,BU-05,Lost,TY-04,40839.34,40839.34,0.08,RE-02,TE-03,IN-21,2022-12-12,2023-05-18,157.0,LS-03,NV-3
OP-00127,CL-00662,BU-07,Won,TY-05,218782.16,218782.16,0.12,RE-03,TE-14,IN-05,2017-08-13,2017-11-11,90.0,LS-07,NV-4
OP-00128,CL-01218,BU-07,Lost,TY-04,0.0,0.0,0.14,RE-03,TE-15,IN-13,2021-12-21,2023-06-28,554.0,LS-05,NV-2
OP-00129,CL-01011,BU-05,Won,TY-04,46090.11,46090.11,0.17,RE-02,TE-00,IN-17,2022-02-04,2022-03-23,47.0,LS-27,NV-4
OP-00130,CL-00662,BU-07,Won,TY-04,1490959.87,2722622.37,0.12,RE-03,TE-06,IN-01,2016-10-17,2017-11-17,396.0,LS-02,NV-2
OP-00131,CL-00029,BU-05,Lost,TY-04,0.0,0.0,0.14,RE-02,TE-12,IN-04,2021-11-04,2021-12-18,44.0,LS-31,NV-1
OP-00132,CL-01151,BU-06,Won,TY-04,21392.03,21392.03,0.05,RE-00,TE-15,IN-30,2021-12-29,2022-03-07,68.0,LS-22,NV-2
OP-00133,CL-00864,BU-05,Lost,TY-04,131269.29,364636.93,0.29,RE-02,TE-01,IN-14,2018-01-08,2018-09-13,248.0,LS-19,NV-4
OP-00134,CL-00290,BU-06,Won,TY-05,0.0,0.0,0.1,RE-02,TE-11,IN-07,2017-12-16,2017-12-28,12.0,LS-21,NV-1
OP-00135,CL-00320,BU-06,Won,TY-00,486.18,486.18,0.15,RE-02,TE-14,IN-01,2022-01-05,2022-01-24,19.0,LS-04,NV-2
OP-00136,CL-00864,BU-05,Lost,TY-04,500768.04,1434238.57,0.09,RE-02,TE-10,IN-06,2017-11-07,2018-05-08,182.0,LS-26,NV-0
OP-00137,CL-00290,BU-06,Won,TY-05,3529.69,20589.83,0.11,RE-02,TE-10,IN-32,2018-03-05,2018-03-17,12.0,LS-19,NV-0
OP-00138,CL-00320,BU-06,Won,TY-00,243.09,243.09,0.13,RE-02,TE-05,IN-13,2021-12-22,2021-12-22,0.0,LS-13,NV-3
OP-00139,CL-00707,BU-05,Lost,TY-04,37922.24,86540.5,0.07,RE-02,TE-08,IN-20,2020-02-16,2020-08-04,170.0,LS-05,NV-4
OP-00140,CL-00290,BU-06,Won,TY-05,182.76,182.76,0.19,RE-02,TE-10,IN-43,2018-02-22,2018-03-06,12.0,LS-09,NV-1
OP-00141,CL-00320,BU-06,Won,TY-00,7174.89,7174.89,0.27,RE-02,TE-03,IN-01,2021-11-19,2021-11-19,0.0,LS-35,NV-3
OP-00142,CL-00320,BU-06,Won,TY-05,47552.26,47552.26,0.14,RE-02,TE-10,IN-29,2022-07-23,2022-07-23,0.0,LS-33,NV-1
OP-00143,CL-00408,BU-05,Lost,TY-04,194473.03,194473.03,0.07,RE-02,TE-10,IN-06,2018-02-24,2018-06-24,120.0,LS-13,NV-3
OP-00144,CL-00099,BU-06,Lost,TY-04,3500.51,3500.51,0.27,RE-02,TE-11,IN-07,2022-01-29,2022-06-08,130.0,LS-21,NV-1
OP-00145,CL-00408,BU-05,Lost,TY-04,82651.04,140992.94,0.05,RE-02,TE-14,IN-42,2017-05-23,2018-03-17,298.0,LS-14,NV-0
OP-00146,CL-00855,BU-06,Lost,TY-04,583419.08,1750257.24,0.1,RE-02,TE-03,IN-57,2017-01-17,2020-03-14,1152.0,LS-04,NV-4
OP-00147,CL-00059,BU-03,Won,TY-05,34218.34,34218.34,0.15,RE-01,TE-10,IN-17,2021-11-06,2021-12-04,28.0,LS-12,NV-0
OP-00148,CL-01069,BU-01,Lost,TY-05,31601.87,31601.87,0.28,RE-02,TE-07,IN-13,2022-05-30,2023-01-30,245.0,LS-26,NV-4
OP-00149,CL-00168,BU-07,Lost,TY-04,946930.15,1343319.52,0.09,RE-03,TE-14,IN-16,2022-01-16,2022-11-20,308.0,LS-15,NV-1
OP-00150,CL-00070,BU-05,Lost,TY-04,118260.62,364636.93,0.07,RE-02,TE-02,IN-63,2017-02-25,2017-11-26,274.0,LS-35,NV-1
OP-00151,CL-00039,BU-06,Won,TY-05,16141.26,16141.26,0.11,RE-02,TE-11,IN-01,2021-06-13,2022-01-15,216.0,LS-12,NV-3
OP-00152,CL-00070,BU-05,Won,TY-00,1166.84,1166.84,0.1,RE-02,TE-08,IN-03,2020-12-18,2020-12-18,0.0,LS-05,NV-4
OP-00153,CL-00412,BU-06,Lost,TY-02,12251.8,49007.2,0.26,RE-02,TE-08,IN-50,2018-10-19,2019-09-21,337.0,LS-26,NV-1
OP-00154,CL-00039,BU-06,S4,TY-05,4227022.33,11272059.56,0.05,RE-02,TE-06,IN-59,2021-09-17,2024-01-13,785.0,LS-05,NV-4
OP-00155,CL-00412,BU-06,Won,TY-02,29675.45,36688.75,0.11,RE-02,TE-04,IN-04,2018-05-26,2018-06-27,32.0,LS-06,NV-2
OP-00156,CL-01211,BU-06,Lost,TY-04,972365.13,2917095.4,0.27,RE-02,TE-08,IN-43,2018-07-19,2020-04-14,635.0,LS-08,NV-1
OP-00157,CL-00739,BU-03,Lost,TY-04,0.0,0.0,0.09,RE-01,TE-07,IN-36,2017-01-14,2020-07-07,1270.0,LS-32,NV-2
OP-00158,CL-00039,BU-06,Won,TY-00,21780.98,21780.98,0.26,RE-02,TE-06,IN-23,2022-04-11,2022-11-13,216.0,LS-19,NV-1
OP-00159,CL-00533,BU-06,Lost,TY-04,2247598.1,11425290.32,0.13,RE-02,TE-04,IN-20,2016-12-20,2020-03-12,1178.0,LS-18,NV-2
OP-00160,CL-00739,BU-03,Lost,TY-04,0.0,5834190.8,0.05,RE-01,TE-08,IN-12,2018-01-25,2019-10-24,637.0,LS-21,NV-3
OP-00161,CL-00039,BU-06,Won,TY-00,10112.6,10112.6,0.17,RE-02,TE-14,IN-34,2022-08-29,2022-11-09,72.0,LS-31,NV-3
OP-00162,CL-00039,BU-06,Won,TY-00,17113.63,17113.63,0.12,RE-02,TE-04,IN-04,2022-08-31,2022-09-28,28.0,LS-02,NV-3
OP-00163,CL-00533,BU-06,Lost,TY-04,95806.56,209058.5,0.13,RE-02,TE-08,IN-17,2017-06-11,2019-12-01,903.0,LS-28,NV-1
OP-00164,CL-00177,BU-01,Lost,TY-04,2308473.59,6925420.77,0.11,RE-02,TE-13,IN-43,2022-05-21,2023-06-23,398.0,LS-21,NV-0
OP-00165,CL-00038,BU-06,Lost,TY-04,2450360.14,7351080.41,0.11,RE-02,TE-14,IN-64,2018-03-05,2020-09-26,936.0,LS-26,NV-4
OP-00166,CL-01309,BU-07,Lost,TY-04,13077046.97,13077046.97,0.17,RE-03,TE-03,IN-33,2021-12-21,2023-02-27,433.0,LS-21,NV-2
OP-00167,CL-01260,BU-05,Lost,TY-04,121234.48,121234.48,0.06,RE-02,TE-05,IN-20,2021-06-11,2022-11-14,521.0,LS-30,NV-3
